4.046E+00	1.331403	5.067E-03
4.102E+00	1.328504	5.621E-03
4.150E+00	1.326183	6.220E-03
4.198E+00	1.323997	6.883E-03
4.246E+00	1.321906	7.600E-03
4.295E+00	1.319948	8.449E-03
4.345E+00	1.318113	9.307E-03
4.395E+00	1.316398	1.030E-02
4.446E+00	1.314920	1.140E-02
4.498E+00	1.313587	1.238E-02
4.550E+00	1.312483	1.361E-02
4.603E+00	1.311785	1.472E-02
4.645E+00	1.311588	1.548E-02
4.699E+00	1.311451	1.570E-02
4.753E+00	1.311148	1.552E-02
4.797E+00	1.310657	1.499E-02
4.853E+00	1.309721	1.441E-02
4.898E+00	1.308720	1.370E-02
4.955E+00	1.307228	1.312E-02
5.000E+00	1.305885	1.241E-02
5.047E+00	1.304258	1.180E-02
5.105E+00	1.301965	1.111E-02
5.152E+00	1.299910	1.061E-02
5.200E+00	1.297550	1.011E-02
5.248E+00	1.294933	9.904E-03
5.297E+00	1.292117	9.790E-03
5.346E+00	1.289015	9.881E-03
5.395E+00	1.285729	1.030E-02
5.445E+00	1.282194	1.078E-02
5.495E+00	1.278291	1.158E-02
5.546E+00	1.273883	1.258E-02
5.598E+00	1.268802	1.418E-02
5.649E+00	1.262994	1.659E-02
5.702E+00	1.256584	2.031E-02
5.754E+00	1.248370	2.482E-02
5.794E+00	1.242239	3.295E-02
5.848E+00	1.234896	4.323E-02
5.902E+00	1.229289	6.220E-02
5.957E+00	1.231892	8.646E-02
5.998E+00	1.242862	1.069E-01
6.053E+00	1.268459	1.250E-01
6.095E+00	1.295314	1.309E-01
6.152E+00	1.330121	1.172E-01
6.194E+00	1.341605	8.786E-02
6.252E+00	1.339863	6.947E-02
6.295E+00	1.335754	5.699E-02
6.353E+00	1.329242	4.952E-02
6.397E+00	1.325038	4.485E-02
6.457E+00	1.320468	4.176E-02
6.501E+00	1.317726	3.925E-02
6.546E+00	1.314837	3.731E-02
6.607E+00	1.311404	3.563E-02
6.653E+00	1.309021	3.450E-02
6.699E+00	1.306716	3.371E-02
6.745E+00	1.304521	3.310E-02
6.808E+00	1.301901	3.272E-02
6.855E+00	1.300125	3.242E-02
6.902E+00	1.298382	3.220E-02
6.950E+00	1.296751	3.212E-02
6.998E+00	1.295193	3.197E-02
7.047E+00	1.293609	3.190E-02
7.096E+00	1.292093	3.197E-02
7.145E+00	1.290696	3.205E-02
7.194E+00	1.289296	3.205E-02
7.244E+00	1.287944	3.220E-02
7.295E+00	1.286624	3.220E-02
7.345E+00	1.285242	3.227E-02
7.396E+00	1.283912	3.242E-02
7.447E+00	1.282606	3.249E-02
7.499E+00	1.281248	3.257E-02
7.551E+00	1.279895	3.272E-02
7.603E+00	1.278508	3.279E-02
7.656E+00	1.277123	3.302E-02
7.691E+00	1.276220	3.310E-02
7.745E+00	1.274794	3.325E-02
7.798E+00	1.273363	3.348E-02
7.852E+00	1.271952	3.371E-02
7.907E+00	1.270543	3.395E-02
7.943E+00	1.269613	3.410E-02
7.998E+00	1.268163	3.426E-02
